id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,attack_cat,label
1,0.12,tcp,http,FIN,6,4,520,1800,15.2,31,29,Normal,0
2,0.08,udp,dns,CON,2,2,120,420,22.1,31,29,Normal,0
3,0.30,tcp,ftp,FIN,8,7,900,2500,11.0,31,29,Normal,0
4,0.06,tcp,ssh,FIN,4,3,310,720,18.8,31,29,Normal,0
5,0.44,tcp,http,FIN,9,8,1100,3500,9.8,31,29,Normal,0
6,0.21,udp,dns,CON,3,3,180,560,13.0,31,29,Normal,0
7,0.15,tcp,smtp,FIN,5,5,440,990,14.1,31,29,Normal,0
8,0.52,tcp,http,FIN,12,10,1600,4400,8.7,31,29,Normal,0
9,0.18,tcp,ssh,FIN,5,4,390,810,13.8,31,29,Normal,0
10,0.09,udp,dns,CON,2,2,130,470,20.6,31,29,Normal,0
11,3.90,tcp,http,INT,240,4,89000,1200,62.5,254,29,DoS,1
12,0.04,tcp,ssh,INT,34,2,8500,180,210.0,254,29,Reconnaissance,1
13,1.25,tcp,http,INT,80,6,32000,900,55.0,254,29,Exploits,1
14,0.02,udp,dns,INT,45,1,7200,90,330.0,254,29,Generic,1
15,2.40,tcp,ftp,INT,120,8,47000,1300,48.0,254,29,Fuzzers,1
16,0.07,tcp,ssh,INT,65,2,14000,230,180.0,254,29,Reconnaissance,1
17,1.80,tcp,http,INT,100,5,38000,760,70.0,254,29,DoS,1
18,0.05,udp,dns,INT,52,1,9200,100,290.0,254,29,Generic,1
19,0.90,tcp,http,INT,75,4,28000,640,85.0,254,29,Exploits,1
20,0.03,tcp,ssh,INT,48,1,10800,120,250.0,254,29,Shellcode,1
